time,tweet,CleanTweets
2022-08-29 06:55:10+00:00,"@auroramanda95 Coba apa admin @PosIndonesia punya jawabannya, apakah masih menyediakan layanan PO Box atau tidak.

Alternatif lain mungkin ini bisa dicoba, https://t.co/pLov8QZE1e
https://t.co/XtNJXr9c4k",coba administrator jawab sedia layan kotak tidak alternatif lain bisa coba
2022-07-25 05:45:53+00:00,@PosIndonesia coba cek kembali admin vvibu 🙏,coba cek kembali administrator
2022-09-09 01:49:31+00:00,@PosIndonesia Coba cek DM min. Sudah DM2an beberapa kali kok.,coba cek pesan langsung administrator sudah kali
2022-07-15 02:52:17+00:00,"@PosIndonesia Coba cdm dong, sahabat",coba cek pesan langsung sahabat
2022-09-02 15:13:05+00:00,"@dagangkorea Coba cek di webnya pos Indonesia nder, biasanya lebih murah dan udah termasuk asuransi juga",coba cek pos indonesia kak lebih murah sudah asuransi
2022-06-27 05:22:45+00:00,"@PosIndonesia tadi saya coba cek tarifnya segini min, jadi yg bener yg mana ya? https://t.co/uUCjsEBZKU",coba cek tarif administrator benar mana ya
2022-07-02 12:54:45+00:00,"@Mei2Namaku @PosIndonesia Coba-coba yuk, ditunggu dl klarifikasi dari YBS, biar adil gitu...Jangan mudah terpancing yuk",coba coba ayo tunggu dulu klarifikasi sangkut biar adil begitu jangan mudah pancing ayo
2022-09-21 02:09:45+00:00,"@PosIndonesia @bankmandiri 

Coba dijelaskan disini yang gangguan dari TIM POS INDONESIA atau BANK MANDIRI?

Biar tidak ada dusta diantara kita https://t.co/dLrsITDwbz",coba ganggu tim pos indonesia bank mandiri biar tidak dusta
2022-08-03 00:24:06+00:00,"@PosIndonesia @barijoe Coba ganti dari ""sahabat"" jadi ""bestie"" min, biar kita tambah deket 🤗",coba ganti sahabat teman baik administrator biar dekat
2022-07-12 06:28:57+00:00,@tukangrosok___ @ListyoSigitP @PosIndonesia Cba yg dihina klg atau anggota nya ...berlaku tdk S E tsbt,coba hina keluarga anggota nya laku tidak si
2022-08-24 01:17:14+00:00,@PosIndonesia saya mencoba mengisi saldo pospay lewat BNI mobile banking tapi selalu muncul pesan ini. Padahal saya sudah mengikuti penulisan rekening sesuai petunjuk. Mohon bantuannya https://t.co/e0Husp1iV0,coba isi saldo lewat muncul pesan sudah ikut tulis rekening sesuai tunjuk mohon
2022-07-01 03:33:53+00:00,"Nyobain kirim wesel pake PosPay @PosIndonesia, ternyata pas ambilnya masih harus pake fotokopi KTP",coba kirim wesel pakai pas pakai ktp
2022-08-03 15:52:16+00:00,"@AgamKupie @ceritadibulan @Mei2Namaku @WinnerWave_ @KaredokLeunca__ @Rezasyariatii Coba lapor @PosIndonesia pasti cepat ditanggapi
😂",coba lapor pasti cepat tanggap
2022-07-14 22:58:35+00:00,"@iqbal_farabi Coba dicek lewat pos indonesia/bea cukai juga mas, biasanya ada status sendiri",coba lewat pos indonesia bea cukai abang status sendiri
2022-09-22 10:47:09+00:00,"Ini @PosIndonesia gimana coba, bukannya tambah maju malah mundur. Dulu bisa bayar admin pos + bea masuk kiriman LN pake QRIS skrg cuma bisa beberapa metode aja. Mana mau bayar pake @mandiricare malah begini.

Mau heran tapi... ahsudahlah https://t.co/kjG1Rbn1ht",coba maju mundur dulu bisa bayar administrator pos bea masuk kirim pakai bisa metode saja mana mau bayar pakai mau heran
2022-08-25 09:02:36+00:00,@PosIndonesia Coba mana perhitungannya kok bisa 175ribu?,coba mana hitung bisa ribu
2022-07-03 05:15:28+00:00,@es_diwongsorebo @Mei2Namaku @maman1965 @PosIndonesia coba di sebutkan di negara mana pelanggaran hukum memvideo di ruang publik?,coba negara mana langgar hukum ruang publik
